"OpCode","mean.relief","sd.relief","fieldofview.Limited","fieldofview.Open","Biota: Consolidated","Biota: Macroalgae","Biota: Octocoral.Black","Biota: Sponges","Biota: Stony.corals","Biota: Unconsolidated","Biota: Reef","Biota: Consolidated: Boulder: Turf mat","Biota: Consolidated: Boulder: Veneer","Biota: Consolidated: Cobbles: Turf mat","Biota: Consolidated: Rock: Turf mat","Biota: Macroalgae: Articulated calcareous","Biota: Macroalgae: Erect course branching: Brown","Biota: Macroalgae: Erect course branching: Green","Biota: Macroalgae: Erect fine branching: Brown","Biota: Macroalgae: Erect fine branching: Green","Biota: Macroalgae: Erect fine branching: Red","Biota: Macroalgae: Filamentous and filiform","Biota: Macroalgae: Laminate","Biota: Macroalgae: Sheet-like membranous","Biota: Macroalgae: Small mixed","Biota: Octocoral/Black: Branching (3D)","Biota: Octocoral/Black: Fan (2D)","Biota: Octocoral/Black: Massive soft corals","Biota: Octocoral/Black: Small mixed","Biota: Sponges: Crusts","Biota: Sponges: Erect forms","Biota: Stony corals: Corymbose: Live","Biota: Stony corals: Encrusting: Live","Biota: Stony corals: Foliose / plate: Live","Biota: Stony corals: Massive: Live","Biota: Stony corals: Small mixed: Live","Biota: Stony corals: Staghorn: Live","Biota: Stony corals: Sub-massive: Bleached","Biota: Stony corals: Sub-massive: Live","Biota: Unconsolidated: Pebble / gravel (biogenic)","Biota: Unconsolidated: Pebble / gravel (gravel 2-10mm)","Biota: Unconsolidated: Pebble / gravel (pebble 10-64mm)","Biota: Unconsolidated: Sand / mud (coarse sand)","Biota: Unconsolidated: Sand / mud (fine sand)"
"MNCB272",1,0,0,100,0,9,0,0,0,0,9,0,0,0,0,0,0.222222222222222,0,0,0,0,0.222222222222222,0,0,0.555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNCB273",1,0,0,100,0,9,0,0,0,1,9,0,0,0,0,0.2,0.3,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
"MNCB276",1,0,0,100,0,10,0,0,0,0,10,0,0,0,0,0,0.1,0,0.1,0,0,0.3,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNCB277",1,0,0,100,0,14,0,0,0,1,14,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0.133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666666666666667,0
"MNCB278",1,0,0,100,0,10,0,0,0,0,10,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNCB280",0.4,0.516397779494322,0,100,0,8,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNCB281",1.06666666666667,0.593616839704664,0,100,0,13,1,0,1,0,14,0,0,0,0,0,0.4,0,0,0.133333333333333,0,0,0,0.0666666666666667,0.266666666666667,0.0666666666666667,0,0,0,0,0,0,0,0,0,0.0666666666666667,0,0,0,0,0,0,0,0
"MNCB282",2.1,1.0711528467276,0,100,15,0,0,0,5,0,15,0.1,0.15,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0.05,0,0,0.05,0,0,0,0,0
"MNCB283",1,0,0,100,0,17,0,0,0,0,17,0,0,0,0,0,0.705882352941177,0,0,0,0,0,0,0,0.294117647058824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNCB291",1,0,0,100,0,12,0,0,0,0,12,0,0,0,0,0.0833333333333333,0.416666666666667,0,0.166666666666667,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNCB292",1,0,0,100,0,13,0,0,2,0,13,0,0,0,0,0,0,0,0.0666666666666667,0,0,0,0,0.6,0.2,0,0,0,0,0,0,0,0,0,0,0.133333333333333,0,0,0,0,0,0,0,0
"MNCB294",1,0,15,85,0,4,0,0,0,3,4,0,0,0,0,0,0,0,0.285714285714286,0,0,0,0,0,0.285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428571428571429,0
"MNCB295",1,0,0,100,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0.285714285714286,0,0,0,0,0.428571428571429,0.285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNCB296",2.52941176470588,1.32842232831014,20,80,4,0,0,0,13,0,4,0,0,0,0.133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666666666666667,0,0.533333333333333,0,0.133333333333333,0,0,0.133333333333333,0,0,0,0,0
