"OpCode","Relief: 0. Flat substrate, sandy, rubble with few features. ~0 substrate slope.","Relief: 1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope.","Relief: 2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.","Relief: 3. Good relief structure with some overhangs. >45 substrate slope.","Relief: 4. High structural complexity, fissures and caves. Vertical wall. ~90 substrate slope.","Relief: 5. Exceptional structural complexity, numerous large holes and caves. Vertical wall. ~90 substrate slope.","fieldofview.Limited","fieldofview.Open","Biota: Consolidated","Biota: Macroalgae","Biota: Octocoral.Black","Biota: Sponges","Biota: Stony.corals","Biota: Unconsolidated","Biota: Consolidated: Boulder: Turf mat","Biota: Consolidated: Boulder: Veneer","Biota: Consolidated: Cobbles: Turf mat","Biota: Consolidated: Rock: Turf mat","Biota: Macroalgae: Articulated calcareous","Biota: Macroalgae: Erect course branching: Brown","Biota: Macroalgae: Erect course branching: Green","Biota: Macroalgae: Erect fine branching: Brown","Biota: Macroalgae: Erect fine branching: Green","Biota: Macroalgae: Erect fine branching: Red","Biota: Macroalgae: Filamentous and filiform","Biota: Macroalgae: Laminate","Biota: Macroalgae: Sheet-like membranous","Biota: Macroalgae: Small mixed","Biota: Octocoral/Black: Branching (3D)","Biota: Octocoral/Black: Fan (2D)","Biota: Octocoral/Black: Massive soft corals","Biota: Octocoral/Black: Small mixed","Biota: Sponges: Crusts","Biota: Sponges: Erect forms","Biota: Stony corals: Corymbose: Live","Biota: Stony corals: Encrusting: Live","Biota: Stony corals: Foliose / plate: Live","Biota: Stony corals: Massive: Live","Biota: Stony corals: Small mixed: Live","Biota: Stony corals: Staghorn: Live","Biota: Stony corals: Sub-massive: Bleached","Biota: Stony corals: Sub-massive: Live","Biota: Unconsolidated: Pebble / gravel (biogenic)","Biota: Unconsolidated: Pebble / gravel (gravel 2-10mm)","Biota: Unconsolidated: Pebble / gravel (pebble 10-64mm)","Biota: Unconsolidated: Sand / mud (coarse sand)","Biota: Unconsolidated: Sand / mud (fine sand)"
"MNCB272",0,9,0,0,0,0,0,20,0,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNCB273",0,10,0,0,0,0,0,20,0,9,0,0,0,1,0,0,0,0,2,3,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"MNCB276",0,10,0,0,0,0,0,20,0,10,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNCB277",0,15,0,0,0,0,0,20,0,14,0,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"MNCB278",0,10,0,0,0,0,0,20,0,10,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNCB280",6,4,0,0,0,0,0,20,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNCB281",1,13,0,1,0,0,0,20,0,13,1,0,1,0,0,0,0,0,0,6,0,0,2,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"MNCB282",2,3,7,7,1,0,0,20,15,0,0,0,5,0,2,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0
"MNCB283",0,17,0,0,0,0,0,20,0,17,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNCB291",0,12,0,0,0,0,0,20,0,12,0,0,0,0,0,0,0,0,1,5,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
